CMPLNT_FR_DT,Count
1015-12-04,2
1016-08-11,1
1016-09-05,1
1016-12-20,1
1017-05-04,1
1017-09-14,1
1017-10-08,1
1017-12-14,1
1018-07-16,1
1028-03-17,1
1028-04-06,1
1028-06-24,1
1029-02-07,2
1029-05-16,2
1900-05-08,1
1915-09-23,1
1916-05-04,1
1916-06-24,1
1917-04-25,1
1920-02-02,1
1920-05-30,2
1945-10-23,1
1948-02-22,1
1950-08-12,1
1954-12-12,1
1955-06-19,1
1959-03-12,1
1960-10-30,1
1965-12-18,1
1966-01-26,1
1966-03-30,1
1966-06-30,1
1967-07-25,1
1968-01-15,1
1968-03-03,1
1968-09-22,1
1970-01-03,1
1982-11-27,1
1986-08-19,1
1987-09-02,1
1988-06-20,1
1990-01-09,1
1992-07-31,1
1994-07-05,1
1995-08-18,1
1998-04-23,1
1999-10-01,1
2000-03-09,2
2000-03-10,1
2000-03-26,1
2000-04-01,1
2000-04-02,1
2000-04-09,1
2000-04-15,1
2000-04-18,1
2000-05-07,1
2000-05-14,1
2000-05-30,1
2000-06-01,1
2000-06-10,1
2000-06-17,1
2000-07-08,1
2000-07-10,1
2000-07-12,1
2000-07-26,2
2000-08-11,1
2000-08-17,1
2000-09-04,2
2000-09-09,1
2000-09-11,1
2000-09-20,1
2000-09-27,1
2000-10-01,1
2000-10-06,1
2000-10-12,1
2000-10-27,1
2000-11-21,1
2000-11-22,1
2000-11-25,1
2000-12-01,1
2000-12-13,1
2000-12-16,2
2000-12-31,1
2001-01-22,1
2001-01-23,1
2001-02-14,1
2001-02-16,1
2001-02-23,1
2001-02-24,1
2001-02-27,1
2001-03-08,1
2001-03-15,1
2001-04-01,1
2001-04-15,1
2001-04-27,1
2001-04-28,1
2001-05-01,1
2001-05-07,1
2001-05-25,1
2001-05-29,1
2001-06-03,1
2001-06-06,1
2001-06-18,1
2001-06-21,1
2001-06-25,1
2001-07-01,1
2001-07-08,1
2001-07-12,1
2001-07-17,1
2001-07-18,1
2001-07-21,1
2001-08-01,1
2001-08-13,1
2001-08-17,1
2001-08-18,1
2001-08-19,1
2001-08-21,1
2001-08-23,1
2001-08-27,1
2001-09-01,1
2001-09-06,2
2001-09-09,1
2001-09-11,1
2001-09-14,1
2001-09-21,1
2001-09-23,1
2001-11-04,2
2001-11-14,1
2001-11-30,1
2001-12-12,1
2001-12-13,1
2001-12-21,2
2002-01-01,1
2002-03-24,1
2002-05-01,1
2002-06-19,1
2002-07-01,1
2002-09-19,1
2002-09-22,1
2002-10-21,1
2002-11-04,1
2002-12-28,1
2003-01-18,1
2003-01-20,1
2003-01-26,1
2003-01-27,1
2003-01-31,1
2003-03-03,1
2003-03-19,1
2003-03-20,1
2003-03-22,1
2003-03-23,1
2003-04-11,1
2003-04-14,1
2003-05-03,1
2003-05-12,1
2003-05-13,2
2003-06-03,1
2003-07-20,1
2003-07-24,1
2003-08-04,1
2003-08-09,1
2003-08-23,1
2003-08-31,1
2003-09-01,1
2003-10-03,1
2003-10-21,1
2003-11-02,1
2003-11-15,1
2004-01-10,1
2004-01-15,1
2004-02-17,1
2004-02-20,1
2004-02-22,1
2004-02-24,1
2004-02-27,1
2004-03-05,1
2004-03-14,1
2004-03-25,1
2004-03-27,1
2004-04-01,3
2004-04-03,1
2004-04-04,1
2004-04-22,1
2004-04-23,2
2004-04-24,1
2004-04-26,1
2004-04-30,1
2004-05-04,1
2004-05-22,1
2004-05-24,1
2004-05-31,1
2004-06-01,1
2004-06-04,1
2004-06-14,2
2004-06-15,1
2004-06-22,1
2004-06-24,1
2004-07-01,1
2004-07-18,1
2004-07-19,1
2004-07-20,1
2004-08-11,1
2004-08-24,1
2004-09-01,1
2004-09-10,1
2004-09-23,1
2004-09-24,2
2004-10-03,1
2004-10-14,1
2004-10-16,1
2004-11-04,1
2004-11-23,1
2004-12-14,1
2004-12-15,1
2004-12-19,1
2005-01-01,9
2005-01-02,6
2005-01-03,3
2005-01-04,3
2005-01-05,2
2005-01-06,4
2005-01-08,3
2005-01-11,1
2005-01-12,1
2005-01-13,2
2005-01-14,4
2005-01-15,1
2005-01-16,1
2005-01-18,4
2005-01-19,1
2005-01-21,1
2005-01-23,3
2005-01-25,3
2005-01-29,2
2005-01-30,1
2005-01-31,1
2005-02-01,3
2005-02-04,1
2005-02-06,1
2005-02-07,1
2005-02-11,2
2005-02-13,1
2005-02-16,2
2005-02-19,1
2005-02-20,1
2005-02-21,1
2005-02-22,1
2005-02-24,1
2005-02-25,1
2005-03-01,3
2005-03-03,1
2005-03-05,1
2005-03-06,1
2005-03-12,2
2005-03-16,2
2005-03-17,1
2005-03-26,1
2005-03-31,1
2005-04-01,2
2005-04-04,1
2005-04-15,1
2005-04-18,1
2005-04-20,2
2005-04-21,1
2005-04-23,1
2005-04-24,3
2005-04-28,1
2005-04-29,1
2005-05-01,1
2005-05-03,1
2005-05-06,1
2005-05-07,1
2005-05-12,1
2005-05-15,3
2005-05-16,1
2005-05-19,1
2005-05-20,1
2005-05-25,1
2005-05-27,2
2005-05-28,1
2005-06-01,5
2005-06-03,1
2005-06-05,1
2005-06-06,1
2005-06-07,2
2005-06-10,1
2005-06-12,1
2005-06-13,1
2005-06-14,1
2005-06-17,2
2005-06-20,1
2005-06-21,5
2005-06-23,1
2005-06-24,1
2005-06-25,1
2005-06-27,1
2005-07-01,2
2005-07-08,1
2005-07-11,1
2005-07-12,2
2005-08-01,1
2005-08-06,1
2005-08-09,2
2005-08-13,1
2005-08-20,1
2005-08-24,1
2005-08-26,2
2005-08-28,1
2005-08-30,1
2005-08-31,1
2005-09-01,5
2005-09-02,1
2005-09-03,1
2005-09-07,1
2005-09-11,1
2005-09-12,1
2005-09-13,2
2005-09-15,2
2005-09-16,1
2005-09-19,2
2005-09-22,1
2005-09-26,3
2005-09-28,2
2005-09-29,1
2005-09-30,1
2005-10-01,2
2005-10-02,1
2005-10-03,1
2005-10-05,4
2005-10-07,1
2005-10-08,1
2005-10-11,1
2005-10-13,1
2005-10-14,1
2005-10-15,3
2005-10-18,1
2005-10-26,1
2005-10-27,1
2005-10-28,1
2005-10-29,1
2005-10-30,1
2005-11-01,4
2005-11-04,2
2005-11-05,2
2005-11-06,2
2005-11-07,1
2005-11-08,1
2005-11-10,2
2005-11-11,2
2005-11-12,1
2005-11-13,1
2005-11-14,1
2005-11-15,1
2005-11-16,3
2005-11-20,2
2005-11-22,1
2005-11-23,5
2005-11-24,2
2005-11-25,1
2005-11-29,2
2005-11-30,3
2005-12-01,5
2005-12-02,5
2005-12-03,4
2005-12-04,1
2005-12-05,3
2005-12-06,2
2005-12-07,2
2005-12-08,1
2005-12-09,1
2005-12-10,2
2005-12-12,5
2005-12-13,4
2005-12-14,3
2005-12-15,4
2005-12-16,6
2005-12-17,2
