date,crime_count,day,month,year,day_of_week,is_weekend
2001-01-01,1832,1,1,2001,0,0
2001-01-02,1143,2,1,2001,1,0
2001-01-03,1151,3,1,2001,2,0
2001-01-04,1166,4,1,2001,3,0
2001-01-05,1267,5,1,2001,4,0
2001-01-06,1292,6,1,2001,5,1
2001-01-07,1105,7,1,2001,6,1
2001-01-08,1157,8,1,2001,0,0
2001-01-09,1184,9,1,2001,1,0
2001-01-10,1237,10,1,2001,2,0
2001-01-11,1228,11,1,2001,3,0
2001-01-12,1353,12,1,2001,4,0
2001-01-13,1311,13,1,2001,5,1
2001-01-14,1119,14,1,2001,6,1
2001-01-15,1312,15,1,2001,0,0
2001-01-16,1251,16,1,2001,1,0
2001-01-17,1288,17,1,2001,2,0
2001-01-18,1278,18,1,2001,3,0
2001-01-19,1214,19,1,2001,4,0
2001-01-20,1256,20,1,2001,5,1
2001-01-21,1105,21,1,2001,6,1
2001-01-22,1180,22,1,2001,0,0
2001-01-23,1250,23,1,2001,1,0
2001-01-24,1101,24,1,2001,2,0
2001-01-25,1183,25,1,2001,3,0
2001-01-26,1296,26,1,2001,4,0
2001-01-27,1215,27,1,2001,5,1
2001-01-28,1076,28,1,2001,6,1
2001-01-29,1175,29,1,2001,0,0
2001-01-30,1211,30,1,2001,1,0
2001-01-31,1190,31,1,2001,2,0
2001-02-01,1333,1,2,2001,3,0
2001-02-02,1236,2,2,2001,4,0
2001-02-03,1185,3,2,2001,5,1
2001-02-04,1149,4,2,2001,6,1
2001-02-05,1313,5,2,2001,0,0
2001-02-06,1197,6,2,2001,1,0
2001-02-07,1245,7,2,2001,2,0
2001-02-08,1242,8,2,2001,3,0
2001-02-09,1285,9,2,2001,4,0
2001-02-10,1089,10,2,2001,5,1
2001-02-11,1049,11,2,2001,6,1
2001-02-12,1235,12,2,2001,0,0
2001-02-13,1241,13,2,2001,1,0
2001-02-14,1228,14,2,2001,2,0
2001-02-15,1294,15,2,2001,3,0
2001-02-16,1213,16,2,2001,4,0
2001-02-17,1079,17,2,2001,5,1
2001-02-18,1080,18,2,2001,6,1
2001-02-19,1211,19,2,2001,0,0
2001-02-20,1257,20,2,2001,1,0
2001-02-21,1223,21,2,2001,2,0
2001-02-22,1126,22,2,2001,3,0
2001-02-23,1201,23,2,2001,4,0
2001-02-24,1237,24,2,2001,5,1
2001-02-25,1162,25,2,2001,6,1
2001-02-26,1204,26,2,2001,0,0
2001-02-27,1247,27,2,2001,1,0
2001-02-28,1227,28,2,2001,2,0
2001-03-01,1595,1,3,2001,3,0
2001-03-02,1401,2,3,2001,4,0
2001-03-03,1324,3,3,2001,5,1
2001-03-04,1162,4,3,2001,6,1
2001-03-05,1232,5,3,2001,0,0
2001-03-06,1248,6,3,2001,1,0
2001-03-07,1369,7,3,2001,2,0
2001-03-08,1356,8,3,2001,3,0
2001-03-09,1421,9,3,2001,4,0
2001-03-10,1267,10,3,2001,5,1
2001-03-11,1144,11,3,2001,6,1
2001-03-12,1265,12,3,2001,0,0
2001-03-13,1291,13,3,2001,1,0
2001-03-14,1317,14,3,2001,2,0
2001-03-15,1258,15,3,2001,3,0
2001-03-16,1256,16,3,2001,4,0
2001-03-17,1088,17,3,2001,5,1
2001-03-18,1192,18,3,2001,6,1
2001-03-19,1344,19,3,2001,0,0
2001-03-20,1433,20,3,2001,1,0
2001-03-21,1374,21,3,2001,2,0
2001-03-22,1374,22,3,2001,3,0
2001-03-23,1483,23,3,2001,4,0
2001-03-24,1339,24,3,2001,5,1
2001-03-25,1102,25,3,2001,6,1
2001-03-26,1216,26,3,2001,0,0
2001-03-27,1409,27,3,2001,1,0
2001-03-28,1321,28,3,2001,2,0
2001-03-29,1337,29,3,2001,3,0
2001-03-30,1350,30,3,2001,4,0
2001-03-31,1306,31,3,2001,5,1
2001-04-01,1362,1,4,2001,6,1
2001-04-02,1323,2,4,2001,0,0
2001-04-03,1353,3,4,2001,1,0
2001-04-04,1345,4,4,2001,2,0
2001-04-05,1274,5,4,2001,3,0
2001-04-06,1381,6,4,2001,4,0
2001-04-07,1352,7,4,2001,5,1
2001-04-08,1319,8,4,2001,6,1
2001-04-09,1338,9,4,2001,0,0
2001-04-10,1341,10,4,2001,1,0
2001-04-11,1312,11,4,2001,2,0
2001-04-12,1458,12,4,2001,3,0
2001-04-13,1336,13,4,2001,4,0
2001-04-14,1347,14,4,2001,5,1
2001-04-15,1227,15,4,2001,6,1
2001-04-16,1178,16,4,2001,0,0
2001-04-17,1194,17,4,2001,1,0
2001-04-18,1339,18,4,2001,2,0
2001-04-19,1323,19,4,2001,3,0
2001-04-20,1477,20,4,2001,4,0
2001-04-21,1372,21,4,2001,5,1
2001-04-22,1353,22,4,2001,6,1
2001-04-23,1308,23,4,2001,0,0
2001-04-24,1294,24,4,2001,1,0
2001-04-25,1299,25,4,2001,2,0
2001-04-26,1358,26,4,2001,3,0
2001-04-27,1506,27,4,2001,4,0
2001-04-28,1302,28,4,2001,5,1
2001-04-29,1295,29,4,2001,6,1
2001-04-30,1433,30,4,2001,0,0
2001-05-01,1552,1,5,2001,1,0
2001-05-02,1462,2,5,2001,2,0
2001-05-03,1442,3,5,2001,3,0
2001-05-04,1533,4,5,2001,4,0
2001-05-05,1347,5,5,2001,5,1
2001-05-06,1223,6,5,2001,6,1
2001-05-07,1392,7,5,2001,0,0
2001-05-08,1412,8,5,2001,1,0
